run,window,start_s,end_s,signal,runtime_status,raw_units_from_inf,min,mean,max
stage9,post_fault_short,2.5,3.5,DFIG_LVRT_TALLOW_S,readable,s,1.7287574336428,1.9206918983140189,2.0
stage9,post_fault_short,2.5,3.5,E_28_29_1_A_P,readable,,-27.775243151535,-9.100187313567856,10.89057283803
stage9,post_fault_short,2.5,3.5,E_28_29_1_A_Q,readable,,-29.016158679369,-22.671612176073324,2.099391492975
stage9,post_fault_short,2.5,3.5,E_28_29_1_B_P,readable,,-28.382592817803,-9.783921273712776,10.169408813128
stage9,post_fault_short,2.5,3.5,E_28_29_1_B_Q,readable,,-35.269416946266,-29.099778715182904,0.0026091017529311
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_S_MAX_PU,readable,pu,2.1078900084512,33.18221630160421,39.687193186066
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_LOADING_INDEX_EQ,readable,pu,0.26774051429294,4.21474726971104,5.0409980937705
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_ABOVE_THRESHOLD,readable,,0.0,0.9900990099009901,1.0
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_TIMER_OR_CURVE_STATE,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_TRIP_REQUEST,readable,,0.0,0.0,0.0
stage9,post_fault_short,2.5,3.5,PAPER_OVL1_BRK_STATE,readable,,0.0,0.0,0.0
stage9,pre_first_trip_redistribution,3.5,7.5,VIBR1_2,readable,,0.78185868527063,0.9790668240215418,1.1995867155902
stage9,pre_first_trip_redistribution,3.5,7.5,PIBR1_2,readable,,180.97107131587,199.16521762460624,215.36135138813
stage9,pre_first_trip_redistribution,3.5,7.5,QIBR1_2,readable,,43.325715742218,60.38738438966592,73.87452484757
stage9,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_LOWV,readable,logic,0.0,0.3740648379052369,1.0
stage9,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_IMMTRIP,readable,logic,0.0,0.0,0.0
stage9,pre_first_trip_redistribution,3.5,7.5,DFIG_LVRT_TIMER_S,readable,s,0.0,0.025576795511228947,0.25081750000018
